"cuenta";"iniciodeuda";"iniciofechadeuda";"ultimafechadeuda";"idciclo"
50;2023;"2023-01-02";"2023-02-01";83
125;2023;"2023-02-01";"2023-02-01";83
316;2023;"2023-02-01";"2023-02-01";83
317;2023;"2023-02-01";"2023-02-01";83
333;2020;"2020-11-09";"2023-02-01";83
347;2019;"2019-08-01";"2023-02-01";83
397;2022;"2022-07-01";"2023-02-01";83
418;2023;"2023-01-02";"2023-02-01";83
432;2022;"2022-12-01";"2023-02-01";83
561;2023;"2023-02-01";"2023-02-01";83
582;2023;"2023-02-01";"2023-02-01";83
664;2023;"2023-02-01";"2023-02-01";83
684;2021;"2021-11-04";"2023-02-01";83
912;2023;"2023-02-01";"2023-02-01";83
939;2023;"2023-02-01";"2023-02-01";83
1045;2023;"2023-01-02";"2023-02-01";83
1130;2022;"2022-04-01";"2023-02-01";83
1132;2023;"2023-01-02";"2023-02-01";83
1206;2023;"2023-02-01";"2023-02-01";83
1246;2022;"2022-10-01";"2023-02-01";83
1255;2023;"2023-02-01";"2023-02-01";83
1315;2021;"2021-03-01";"2023-02-01";83
1322;2023;"2023-02-01";"2023-02-01";83
1369;2020;"2020-02-03";"2023-02-01";83
1407;2022;"2022-12-01";"2023-02-01";83
1573;2021;"2021-04-06";"2023-02-01";83
1584;2023;"2023-02-01";"2023-02-01";83
1619;2010;"2010-10-08";"2023-02-01";83
1620;2023;"2023-02-01";"2023-02-01";83
1621;2022;"2022-11-02";"2023-02-01";83
1645;2023;"2023-01-02";"2023-02-01";83
1646;2021;"2021-06-01";"2023-02-01";83
1649;2023;"2023-02-01";"2023-02-01";83
1650;2023;"2023-01-02";"2023-02-01";83
1656;2022;"2022-09-01";"2023-02-01";83
1668;2020;"2020-02-03";"2023-02-01";83
1669;2021;"2021-03-01";"2023-02-01";83
1680;2023;"2023-02-01";"2023-02-01";83
1691;2023;"2023-02-01";"2023-02-01";83
1716;2022;"2022-08-01";"2023-02-01";83
1744;2023;"2023-01-02";"2023-02-01";83
1789;2019;"2019-02-08";"2023-02-01";83
1790;2012;"2012-07-28";"2023-02-01";83
1800;2022;"2022-12-01";"2023-02-01";83
1902;2023;"2023-02-01";"2023-02-01";83
1942;2023;"2023-01-02";"2023-02-01";83
1956;2023;"2023-02-01";"2023-02-01";83
1985;2023;"2023-02-01";"2023-02-01";83
1986;2023;"2023-02-01";"2023-02-01";83
1988;2022;"2022-06-01";"2023-02-01";83
1991;2022;"2022-09-01";"2023-02-01";83
2019;2023;"2023-02-01";"2023-02-01";83
2063;2023;"2023-02-01";"2023-02-01";83
2078;2023;"2023-02-01";"2023-02-01";83
2102;2022;"2022-12-01";"2023-02-01";83
2344;2021;"2021-09-01";"2023-02-01";83
2348;2023;"2023-02-01";"2023-02-01";83
2369;2023;"2023-02-01";"2023-02-01";83
2378;2020;"2020-11-09";"2023-02-01";83
2385;2014;"2014-08-29";"2023-02-01";83
2390;2019;"2019-02-08";"2023-02-01";83
2391;2022;"2022-10-01";"2023-02-01";83
2392;2020;"2020-10-01";"2023-02-01";83
2398;2019;"2019-02-08";"2023-02-01";83
2405;2023;"2023-02-01";"2023-02-01";83
2406;2023;"2023-02-01";"2023-02-01";83
2450;2023;"2023-02-01";"2023-02-01";83
2451;2023;"2023-02-01";"2023-02-01";83
2452;2020;"2020-12-08";"2023-02-01";83
2493;2022;"2022-08-01";"2023-02-01";83
2495;2022;"2022-08-01";"2023-02-01";83
2496;2023;"2023-02-01";"2023-02-01";83
2498;2023;"2023-02-01";"2023-02-01";83
2511;2023;"2023-01-02";"2023-02-01";83
2702;2022;"2022-11-02";"2023-02-01";83
2725;2017;"2017-02-01";"2023-02-01";83
2726;2023;"2023-02-01";"2023-02-01";83
2751;2023;"2023-02-01";"2023-02-01";83
2753;2022;"2022-07-01";"2023-02-01";83
3010;2022;"2022-10-01";"2023-02-01";83
3011;2023;"2023-02-01";"2023-02-01";83
3039;2023;"2023-02-01";"2023-02-01";83
3040;2023;"2023-01-02";"2023-02-01";83
3195;2020;"2020-09-01";"2023-02-01";83
3198;2022;"2022-11-02";"2023-02-01";83
3199;2023;"2023-02-01";"2023-02-01";83
3201;2022;"2022-10-01";"2023-02-01";83
3202;2023;"2023-02-01";"2023-02-01";83
3279;2022;"2022-12-01";"2023-02-01";83
3409;2023;"2023-02-01";"2023-02-01";83
3424;2022;"2022-11-02";"2023-02-01";83
3425;2023;"2023-02-01";"2023-02-01";83
3435;2023;"2023-02-01";"2023-02-01";83
3438;2014;"2014-07-31";"2023-02-01";83
3507;2023;"2023-01-02";"2023-02-01";83
3518;2023;"2023-02-01";"2023-02-01";83
3519;2023;"2023-02-01";"2023-02-01";83
3524;2023;"2023-01-02";"2023-02-01";83
3526;2021;"2021-11-04";"2023-02-01";83
3531;2022;"2022-11-02";"2023-02-01";83
3532;2022;"2022-11-02";"2023-02-01";83
3533;2022;"2022-10-01";"2023-02-01";83
3535;2015;"2015-02-20";"2023-02-01";83
3560;2020;"2020-07-01";"2023-02-01";83
3607;2023;"2023-02-01";"2023-02-01";83
3629;2023;"2023-02-01";"2023-02-01";83
3630;2023;"2023-02-01";"2023-02-01";83
3645;2023;"2023-02-01";"2023-02-01";83
3678;2022;"2022-07-01";"2023-02-01";83
3705;2022;"2022-06-01";"2023-02-01";83
3717;2023;"2023-02-01";"2023-02-01";83
3747;2022;"2022-11-02";"2023-02-01";83
3759;2022;"2022-09-01";"2023-02-01";83
3767;2022;"2022-12-01";"2023-02-01";83
3871;2021;"2021-12-01";"2023-02-01";83
3918;2023;"2023-02-01";"2023-02-01";83
3928;2022;"2022-12-01";"2023-02-01";83
3940;2022;"2022-07-01";"2023-02-01";83
3978;2023;"2023-02-01";"2023-02-01";83
3981;2023;"2023-02-01";"2023-02-01";83
3983;2023;"2023-02-01";"2023-02-01";83
3993;2023;"2023-02-01";"2023-02-01";83
4042;2023;"2023-02-01";"2023-02-01";83
4149;2022;"2022-03-02";"2023-02-01";83
4150;2023;"2023-02-01";"2023-02-01";83
4152;2023;"2023-02-01";"2023-02-01";83
4370;2007;"2007-04-01";"2023-02-01";83
4374;2021;"2021-02-01";"2023-02-01";83
4409;2023;"2023-01-02";"2023-02-01";83
4410;2019;"2019-10-01";"2023-02-01";83
4411;2022;"2022-11-02";"2023-02-01";83
4413;2023;"2023-02-01";"2023-02-01";83
4446;2023;"2023-02-01";"2023-02-01";83
4453;2023;"2023-02-01";"2023-02-01";83
4532;2023;"2023-02-01";"2023-02-01";83
4533;2022;"2022-12-01";"2023-02-01";83
4570;2023;"2023-02-01";"2023-02-01";83
4648;2023;"2023-02-01";"2023-02-01";83
4720;2022;"2022-12-01";"2023-02-01";83
4739;2023;"2023-02-01";"2023-02-01";83
4817;2020;"2020-07-01";"2023-02-01";83
4862;2023;"2023-02-01";"2023-02-01";83
4939;2023;"2023-02-01";"2023-02-01";83
4945;2023;"2023-02-01";"2023-02-01";83
4948;2022;"2022-04-01";"2023-02-01";83
4949;2022;"2022-07-01";"2023-02-01";83
5082;2022;"2022-05-03";"2023-02-01";83
5113;2023;"2023-01-02";"2023-02-01";83
5173;2023;"2023-02-01";"2023-02-01";83
5174;2023;"2023-02-01";"2023-02-01";83
5212;2022;"2022-09-01";"2023-02-01";83
5241;2023;"2023-02-01";"2023-02-01";83
5242;2023;"2023-02-01";"2023-02-01";83
5322;2023;"2023-02-01";"2023-02-01";83
5345;2023;"2023-02-01";"2023-02-01";83
5371;2023;"2023-02-01";"2023-02-01";83
5375;2023;"2023-02-01";"2023-02-01";83
5395;2021;"2021-12-01";"2023-02-01";83
5427;2023;"2023-02-01";"2023-02-01";83
5452;2023;"2023-02-01";"2023-02-01";83
5528;2023;"2023-02-01";"2023-02-01";83
5532;2023;"2023-02-01";"2023-02-01";83
5543;2023;"2023-02-01";"2023-02-01";83
5584;2023;"2023-02-01";"2023-02-01";83
5588;2022;"2022-12-01";"2023-02-01";83
5601;2023;"2023-02-01";"2023-02-01";83
5607;2023;"2023-02-01";"2023-02-01";83
5608;2023;"2023-02-01";"2023-02-01";83
5673;2021;"2021-02-01";"2023-02-01";83
5685;2021;"2021-08-02";"2023-02-01";83
5692;2022;"2022-11-02";"2023-02-01";83
5693;2023;"2023-01-02";"2023-02-01";83
5706;2023;"2023-02-01";"2023-02-01";83
5708;2023;"2023-02-01";"2023-02-01";83
5731;2023;"2023-02-01";"2023-02-01";83
5732;2023;"2023-01-02";"2023-02-01";83
5733;2022;"2022-12-01";"2023-02-01";83
5793;2023;"2023-01-02";"2023-02-01";83
5830;2021;"2021-05-04";"2023-02-01";83
5852;2019;"2019-10-31";"2023-02-01";83
5860;2018;"2018-07-09";"2023-02-01";83
5861;2023;"2023-02-01";"2023-02-01";83
5862;2023;"2023-01-02";"2023-02-01";83
5899;2023;"2023-02-01";"2023-02-01";83
5916;2023;"2023-02-01";"2023-02-01";83
5917;2023;"2023-02-01";"2023-02-01";83
5918;2023;"2023-02-01";"2023-02-01";83
5919;2018;"2018-12-28";"2023-02-01";83
5921;2023;"2023-02-01";"2023-02-01";83
5922;2021;"2021-04-06";"2023-02-01";83
5923;2022;"2022-12-01";"2023-02-01";83
6001;2021;"2021-01-02";"2023-02-01";83
6020;2023;"2023-02-01";"2023-02-01";83
6036;2021;"2021-10-01";"2023-02-01";83
6147;2021;"2021-12-01";"2023-02-01";83
6148;2021;"2021-12-01";"2023-02-01";83
6149;2022;"2022-09-01";"2023-02-01";83
6164;2023;"2023-01-02";"2023-02-01";83
6218;2022;"2022-11-02";"2023-02-01";83
6290;2022;"2022-12-01";"2023-02-01";83
6405;2022;"2022-11-02";"2023-02-01";83
6408;2023;"2023-02-01";"2023-02-01";83
6563;2022;"2022-11-02";"2023-02-01";83
6606;2023;"2023-02-01";"2023-02-01";83
6637;2023;"2023-02-01";"2023-02-01";83
6692;2023;"2023-02-01";"2023-02-01";83
6749;2023;"2023-02-01";"2023-02-01";83
6818;2022;"2022-03-02";"2023-02-01";83
6895;2022;"2022-05-03";"2023-02-01";83
6975;2022;"2022-11-02";"2023-02-01";83
6999;2022;"2022-06-01";"2023-02-01";83
7068;2023;"2023-02-01";"2023-02-01";83
7111;2022;"2022-12-01";"2023-02-01";83
7112;2022;"2022-12-01";"2023-02-01";83
7144;2022;"2022-12-01";"2023-02-01";83
7158;2023;"2023-02-01";"2023-02-01";83
7161;2023;"2023-02-01";"2023-02-01";83
7205;2023;"2023-01-02";"2023-02-01";83
7304;2020;"2020-10-01";"2023-02-01";83
7305;2023;"2023-02-01";"2023-02-01";83
7310;2023;"2023-01-02";"2023-02-01";83
7325;2023;"2023-01-02";"2023-02-01";83
7620;2022;"2022-12-01";"2023-02-01";83
7638;2023;"2023-02-01";"2023-02-01";83
7639;2022;"2022-07-01";"2023-02-01";83
7640;2022;"2022-07-01";"2023-02-01";83
7641;2023;"2023-02-01";"2023-02-01";83
7642;2023;"2023-02-01";"2023-02-01";83
7644;2023;"2023-02-01";"2023-02-01";83
7650;2019;"2019-12-02";"2023-02-01";83
7651;2023;"2023-01-02";"2023-02-01";83
7664;2023;"2023-01-02";"2023-02-01";83
7710;2021;"2021-09-01";"2023-02-01";83
7711;2021;"2021-09-01";"2023-02-01";83
7712;2023;"2023-02-01";"2023-02-01";83
7713;2022;"2022-11-02";"2023-02-01";83
7714;2023;"2023-02-01";"2023-02-01";83
7726;2019;"2019-04-04";"2023-02-01";83
7783;2021;"2021-04-06";"2023-02-01";83
7792;2023;"2023-02-01";"2023-02-01";83
7793;2023;"2023-02-01";"2023-02-01";83
7802;2011;"2011-12-01";"2023-02-01";83
7818;2023;"2023-02-01";"2023-02-01";83
7826;2023;"2023-02-01";"2023-02-01";83
7879;2023;"2023-02-01";"2023-02-01";83
